lakeid,title_lake,title,link,citation,archive_link
aech_00001,Amisk Lake,,,"Messager, M. L., B. Lehner, G. Grill,  I. Nedeva, and O. Schmitt. 2016. Estimating the volume and age of water stored in global lakes using a geo-statistical approach. Nature Communications 7:13603.  Data is available at www.hydrosheds.org.",
aech_00001,Amisk Lake,"Amisk Lake 2008 Report, Lakewatch, Alberta Lake Management Society Volunteer Lake monitoring report",https://alms.ca/wp-content/uploads/2014/01/Amisk-2008.pdf,,
aech_00002,Angling Lake,,"Lake coordinates, Google Earth, earth.google.com/web/",,
aech_00002,Angling Lake,"Antler Lake Watershed Map, Alberta Lake Management Society",https://alms.ca/wp-content/uploads/2016/12/Angling.pdf,"The Alberta Lake Management Society. Antler Lake Watershed Map. Retrieved from: https://alms.ca/wp-content/uploads/2016/12/Angling.pdf. December 23, 2016.",
aech_00002,Angling Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IADMM,,
aech_00003,Battle Lake,,,"Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.",
aech_00003,Battle Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IABTM,,
aech_00004,Beaverhill Lake/Beaver Hill Lake,,,"Messager, M. L., B. Lehner, G. Grill,  I. Nedeva, and O. Schmitt. 2016. Estimating the volume and age of water stored in global lakes using a geo-statistical approach. Nature Communications 7:13603.  Data is available at www.hydrosheds.org.",
aech_00004,Beaverhill Lake/Beaver Hill Lake,"Beaverhill Lake Heritage Rangeland Natural Area, Alberta Parks",https://www.albertaparks.ca/parks/central/beaverhill-lake-heritage-rangeland-na/,,
aech_00004,Beaverhill Lake/Beaver Hill Lake,Beaverhill Lake - Western Hemisphere Shorebird Reserve Network Site,https://whsrn.org/whsrn_sites/beaverhill-lake/,,
aech_00004,Beaverhill Lake/Beaver Hill Lake,North Saskatchewan Watershed Alliance,https://www.nswa.ab.ca/subwatershed/beaverhill/,,
aech_00004,Beaverhill Lake/Beaver Hill Lake,"Beaverhill Lake, Information Sheet on Ramsar Wetlands",https://rsis.ramsar.org/RISapp/files/RISrep/CA370RIS.pdf,,
aech_00004,Beaverhill Lake/Beaver Hill Lake,Beaverhill Bird Observatory,http://www.beaverhillbirds.com/welcome/beaverhill-lake/,,
aech_00004,Beaverhill Lake/Beaver Hill Lake,Beaverhill Lake Important Bird Area (IBA) Site Summary,https://www.ibacanada.org/site.jsp?siteID=AB001&sortBy=I,,
aech_00004,Beaverhill Lake/Beaver Hill Lake,Beaverhill Lake Nature Center and Museum,https://tofieldalberta.ca/visiting/museum-and-history/nature-centre/,,
aech_00004,Beaverhill Lake/Beaver Hill Lake,Beaverhill Lake Recreation Lake,https://www.beaver.ab.ca/tourism/recreation/recreation-areas,,
aech_00005,Bens Lake,,,"Lake coordinates, Google Earth, earth.google.com/web/",
aech_00005,Bens Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAEED,,
aech_00006,Big Lake,Big Lake Environmental Support Society (BLESS),https://www.bless-env.ca/about-big-lake-2,,
aech_00006,Big Lake,Lois Hole Centennial Provincial Park,https://www.albertaparks.ca/parks/central/lois-hole-centennial-pp/,,
aech_00006,Big Lake,Lois Hole Centennial Provincial Park,https://stalbert.ca/rec/parks/places/region/lois-hole-centennial/,,
aech_00006,Big Lake,Big Lake Lakewatch 2006 Report,https://alms.ca/wp-content/uploads/2014/01/Big-2006.pdf,,
aech_00006,Big Lake,,,"Lake coordinates, Google Earth, earth.google.com/web/",
aech_00006,Big Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAGCN,,
aech_00006,Big Lake,Big Lake Important Bird Area (IBA) Site Summary,https://www.ibacanada.org/site.jsp?siteID=AB068,,
aech_00007,Blood Indian Creek Reservoir,,,"Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.",
aech_00007,Blood Indian Creek Reservoir,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IATGJ,,
aech_00007,Blood Indian Creek Reservoir,Special Areas Board,https://specialareas.ab.ca/visit/parks-campgrounds/blood-indian-park/,,
aech_00008,Brock Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAIDF,,
aech_00008,Brock Lake,Prefonatine Brock Lakes Natural Area,https://www.albertaparks.ca/parks/central/prefontaine-brock-lakes-na/information-facilities/,,
