surveyid,lakeid,min_adults,year_min_adults,max_adults_range,max_adults_estimate,max_adults,year_max_adults,most_recent_adults_range,most_recent_adults_estimate,most_recent_adults,year_most_recent_adults,min_nests,year_min_nests,max_nests_range,max_nests_estimate,max_nests,year_max_nests,most_recent_nests_range,most_recent_nests_estimate,most_recent_nests,year_most_recent_nests,min_chicks,year_min_chicks,max_chicks_range,max_chicks_estimate,max_chicks,year_max_chicks,most_recent_chicks_range,most_recent_chicks_estimate,most_recent_chicks,year_most_recent_chicks,PRODUCTIVITY (# CHICKS/ADULT),western_clarks_both,"IF PREVIOUS COLUMN IS YES, COUNTED TOGETHER, WHAT IS PROPORTION OF CLARK'S to WESTERN? (Third number is Unidentified, if any).","IF NO, NOT COUNTED TOGETHER, WHICH ONE IS IT, CLARK'S or WESTERN?",ADULT (Y/N),BROOD (Y/N),NEST (Y/N),survey_type,survey_time_period,frequency_survey,duration_study,citations,JOURNAL OF WILDLIFE MANAGEMENT CITATION,data_source_type,survey_comment
aech_survey_00001,aech_00093,presence,2006 or prior,1 to 100,,presence,2006 or prior,1 to 100,,presence,2006 or prior,presence,2006 or prior,1 to 100,,presence,2006 or prior,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,Y,N/A,Y,,2006 or prior,N/A,N/A,"Manning, A. 2006? Colony list, unpublished data.",,Summary,"Unpublished data from Ann Manning with the Utah Division of Wildlife, forwarded by Gary Ivey.  Ivey said year saved was 2006 but otherwise unknown when this list was determined by Manning, hence year noted as 2006 or prior.  This is on a list of known colony or colonies of Western grebes.  No year nor other info provided."
aech_survey_00002,aech_00094,presence,between 1993-2000,1 to 100,,presence,2006 or prior,1 to 100,,presence,between 1993-2000,presence,between 1993-2000,1 to 100,,presence,between 1993-2000,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Clark's,N/A,N/A,Y,,"1993, 2000",N/A,8,"Corman, T. E. and Cathryn Wise-Gervais. 2005. Arizona Breeding Bird Atlas. University of New Mexico Press, Albuquerque, NM.",,Book,Surveys were conducted between 1993 and 2000 for this atlas.  Volunteer surveyors for the atlas noted Clark's grebe nesting here but no specific year indicated and no other details.  Western grebes were seen here too but no confirmation of breeding.
aech_survey_00003,aech_00095,88,2000,1 to 100,,88,2000,1 to 100,,88,2000,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Clark's,Y,N/A,N/A,,2000,N/A,1,"Bill Williams River National Wildlife Refuge IBA, Arizona Important Birds Area Program, website. https://aziba.org/?page_id=272",,Website,"This is a Continental IBA for Clark's grebes.  44 breeding pairs of Clark's grebes are reported for 2000.  475 non-breeding individuals were counted in 2011, I did not enter this.  No other information as this is a website describing this IBA.  Western grebes migrate through."
aech_survey_00004,aech_00095,presence,2006 or prior,1 to 100,,presence,2006 or prior,1 to 100,,presence,2006 or prior,presence,2006 or prior,1 to 100,,presence,2006 or prior,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,,2006 or prior,N/A,N/A,"Manning, A. 2006? Colony list, unpublished data.",,Summary,"Unpublished data from Ann Manning with the Utah Division of Wildlife, forwarded by Gary Ivey.  Ivey said year saved was 2006 but otherwise unknown when this list was determined by Manning, hence year noted as 2006 or prior.  This is on a list of known colonies of Western and Clark's grebes.  No year nor other info provided."
aech_survey_00005,aech_00095,presence,between 1993-2000,1 to 100,,presence,2006 or prior,1 to 100,,presence,between 1993-2000,1,between 1993-2000,1 to 100,,1,between 1993-2000,1 to 100,,1,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,,"1993, 2000",N/A,8,"Corman, T. E. and Cathryn Wise-Gervais. 2005. Arizona Breeding Bird Atlas. University of New Mexico Press, Albuquerque, NM.",,Book,"Surveys were conducted between 1993 and 2000 for this atlas.  Atlas volunteer surveyors found a Western grebe nest with eggs in July (no year indicated).  Clark's grebes also nest here, first observed nesting in 2001."
aech_survey_00006,aech_00096,presence,between 1993-2000,1 to 100,,presence,2006 or prior,1 to 100,,presence,between 1993-2000,presence,between 1993-2000,1 to 100,,presence,between 1993-2000,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,,"1993, 2000",N/A,8,"Corman, T. E. and Cathryn Wise-Gervais. 2005. Arizona Breeding Bird Atlas. University of New Mexico Press, Albuquerque, NM.",,Book,Surveys were conducted between 1993 and 2000 for this atlas.  Volunteer surveyors for the atlas noted breeding here but no specific year indicated and no other details.  This is along the Colorado River.
aech_survey_00007,aech_00097,presence,between 1993-2000,1 to 100,,presence,2006 or prior,1 to 100,,presence,between 1993-2000,presence,between 1993-2000,1 to 100,,presence,between 1993-2000,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,,"1993, 2000",N/A,8,"Corman, T. E. and Cathryn Wise-Gervais. 2005. Arizona Breeding Bird Atlas. University of New Mexico Press, Albuquerque, NM.",,Book,Surveys were conducted between 1993 and 2000 for this atlas.  There were nesting records through the summer (no specific year indicated) along the Colorado River.
aech_survey_00008,aech_00099,presence,between 1993-2000,1 to 100,,presence,2006 or prior,1 to 100,,presence,between 1993-2000,presence,between 1993-2000,1 to 100,,presence,between 1993-2000,1 to 100,,presence,2006 or prior,presence,between 1993-2000,1 to 100,,presence,between 1993-2000,1 to 100,,presence,between 1993-2000,N/A,Y,N/A,N/A,N/A,Y,N/A,,"1993, 2000",N/A,8,"Corman, T. E. and Cathryn Wise-Gervais. 2005. Arizona Breeding Bird Atlas. University of New Mexico Press, Albuquerque, NM.",,Book,Surveys were conducted between 1993 and 2000 for this atlas.  Volunteer surveyors for the atlas noted Western grebe adults with chicks on 4 September (no year stated) and Clark's grebe adults with chicks on 15 October 1997.
aech_survey_00009,aech_00135,presence,2006 or prior,1 to 100,,presence,2006 or prior,1 to 100,,presence,2006 or prior,presence,2006 or prior,1 to 100,,presence,2006 or prior,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,,"June to September, 2006 or prior",N/A,N/A,"Manning, A. 2006? Colony list, unpublished data.",,Summary,"Unpublished data from Ann Manning with the Utah Division of Wildlife, forwarded by Gary Ivey.  Ivey said year saved was 2006 but otherwise unknown when this list was determined by Manning, hence year noted as 2006 or prior.  This is on a list of known colonies of Western and Clark's grebes.  Surveys conducted June through September.  No year nor other info provided."
aech_survey_00010,aech_00134,presence,between 1993-2000,1 to 100,,presence,2006 or prior,1 to 100,,presence,between 1993-2000,presence,between 1993-2000,1 to 100,,presence,between 1993-2000,1 to 100,,presence,2006 or prior,presence,between 1993-2000,1 to 100,,presence,between 1993-2000,1 to 100,,presence,between 1993-2000,N/A,N,N/A,Clark's,N/A,Y,N/A,,"1993, 2000",N/A,8,"Corman, T. E. and Cathryn Wise-Gervais. 2005. Arizona Breeding Bird Atlas. University of New Mexico Press, Albuquerque, NM.",,Book,"Surveys were conducted between 1993 and 2000 for this atlas.  Volunteer surveyors for the atlas noted Clark's grebes with chicks in late April (no year stated) as evidence of nesting in mid-March ""at the latest""."
aech_survey_00011,aech_00100,presence,?,1 to 100,,presence,2006 or prior,1 to 100,,presence,?,N/A,N/A,,,N/A,N/A,,,N/A,2006 or prior,1,?,1 to 100,,1,?,1 to 100,,1,?,N/A,N,N/A,Western,N/A,Y,N/A,,N/A,N/A,N/A,"Jenness, D. 2020.  Extreme water level fluctuations limit breeding of western and Clark's grebes at San Carlos Lake, Arizona. Arizona Birds - Journal of Arizona Field Ornithologists. Volume 2020 AND Corman, T. E. and Cathryn Wise-Gervais. 2005. Arizona Breeding Bird Atlas. University of New Mexico Press, Albuquerque, NM. (Book)",,Journal article,Not a survey but an observation of a brood with one chick observed in January (Rosenberg et al. 1991) as an example of an early nesting period.  The year is not stated.
aech_survey_00012,aech_00100,presence,between 1993-2000,1 to 100,,presence,2006 or prior,1 to 100,,presence,between 1993-2000,N/A,N/A,,,N/A,N/A,,,N/A,2006 or prior,1,between 1993-2000,1 to 100,,1,between 1993-2000,1 to 100,,1,between 1993-2000,N/A,Y,N/A,N/A,N/A,Y,Y,,"1993, 2000",N/A,8,"Corman, T. E. and Cathryn Wise-Gervais. 2005. Arizona Breeding Bird Atlas. University of New Mexico Press, Albuquerque, NM.",,Book,Surveys were conducted between 1993 and 2000 for this atlas.  Volunteer surveyors for the atlas noted a Western grebe adult with with chick on 1 January (no year stated) as evidence of a longer breeding period in the year.  Clark's grebes suspected of nesting here too.
aech_survey_00013,aech_00101,presence,2006 or prior,1 to 100,,presence,2006 or prior,1 to 100,,presence,2006 or prior,presence,2006 or prior,1 to 100,,presence,2006 or prior,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,Y,,2006 or prior,N/A,N/A,"Manning, A. 2006? Colony list, unpublished data.",,Summary,"Unpublished data from Ann Manning with the Utah Division of Wildlife, forwarded by Gary Ivey.  Ivey said year saved was 2006 but otherwise unknown when this list was determined by Manning, hence year noted as 2006 or prior.  This is on a list of known colonies of Western and Clark's grebes.  No year nor other info provided."
aech_survey_00014,aech_00102,presence,between 1993-2000,1 to 100,,presence,2006 or prior,1 to 100,,presence,between 1993-2000,presence,between 1993-2000,1 to 100,,presence,between 1993-2000,1 to 100,,presence,2006 or prior,N/A,N/A,,,N/A,N/A,,,N/A,N/A,N/A,N,N/A,Western,N/A,N/A,Y,,"1993, 2000",N/A,8,"Corman, T. E. and Cathryn Wise-Gervais. 2005. Arizona Breeding Bird Atlas. University of New Mexico Press, Albuquerque, NM.",,Book,Surveys were conducted between 1993 and 2000 for this atlas.  Volunteer surveyors for the atlas noted nesting here but no year indicated and no other details.
